"Bore ID","Date","Result","Unit","Quality Code"
"GW080415.1.1",2003-01-10 00:00:00.0,1300,"TDS","100"
"GW080415.1.1",2003-01-17 13:25:00.0,2250,"uS/cm",
"GW080415.1.1",2004-07-15 11:50:00.0,2580,"uS/cm",
"GW080415.1.1",2010-05-26 11:30:00.0,3057,"uS/cm",
"GW080415.1.1",2004-03-22 00:01:00.0,2505,"uS/cm",
"GW080415.1.1",2003-01-17 13:26:00.0,1960,"uS/cm",
"GW080415.1.1",2009-05-27 12:00:00.0,3137,"uS/cm",
"GW080415.1.1",2006-01-23 11:30:00.0,2595,"uS/cm",
"GW080415.1.1",2006-05-23 10:30:00.0,2628,"uS/cm",
"GW080415.1.1",2005-06-01 00:01:00.0,2460,"uS/cm",
"GW080415.1.1",2004-01-15 11:00:00.0,2040,"uS/cm",
"GW080415.1.1",2008-04-01 11:30:00.0,2788,"uS/cm",
"GW080415.1.1",2006-08-25 10:30:00.0,2612,"uS/cm",
"GW080415.1.1",2006-08-25 10:31:00.0,2803,"uS/cm",
"GW080415.1.1",2011-02-10 00:12:00.0,2100,"uS/cm",
"GW080415.1.1",2012-08-29 00:00:00.0,1613,"uS/cm",
"GW080415.1.1",2004-08-31 12:30:00.0,2540,"uS/cm",
"GW080415.1.1",2005-04-06 10:30:00.0,2437,"uS/cm",
