"Bore ID","Date","Variable","Result (m)","Quality Code","Agency"
"GW080415.1.1",2003-01-17 00:00:00.0,"DTW",1.66,"quality-A","WaterNSW"
"GW080415.1.1",2003-01-17 00:00:00.0,"RSWL (mAHD)",518.34,"quality-A","WaterNSW"
"GW080415.1.1",2003-01-17 00:00:00.0,"SWL",2.16,"quality-A","WaterNSW"
"GW080415.1.1",2004-01-15 00:00:00.0,"DTW",2.02,"quality-A","WaterNSW"
"GW080415.1.1",2004-01-15 00:00:00.0,"RSWL (mAHD)",517.98,"quality-A","WaterNSW"
"GW080415.1.1",2004-01-15 00:00:00.0,"SWL",2.52,"quality-A","WaterNSW"
"GW080415.1.1",2004-03-22 00:00:00.0,"DTW",1.51,"quality-A","WaterNSW"
"GW080415.1.1",2004-03-22 00:00:00.0,"RSWL (mAHD)",518.49,"quality-A","WaterNSW"
"GW080415.1.1",2004-03-22 00:00:00.0,"SWL",2.01,"quality-A","WaterNSW"
"GW080415.1.1",2004-07-15 00:00:00.0,"DTW",2.30,"quality-A","WaterNSW"
"GW080415.1.1",2004-07-15 00:00:00.0,"RSWL (mAHD)",517.70,"quality-A","WaterNSW"
"GW080415.1.1",2004-07-15 00:00:00.0,"SWL",2.80,"quality-A","WaterNSW"
"GW080415.1.1",2004-08-31 00:00:00.0,"DTW",2.26,"quality-A","WaterNSW"
"GW080415.1.1",2004-08-31 00:00:00.0,"RSWL (mAHD)",517.74,"quality-A","WaterNSW"
"GW080415.1.1",2004-08-31 00:00:00.0,"SWL",2.76,"quality-A","WaterNSW"
"GW080415.1.1",2004-09-01 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-01 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-01 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-02 00:00:00.0,"DTW",2.29,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-02 00:00:00.0,"RSWL (mAHD)",517.71,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-02 00:00:00.0,"SWL",2.79,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-03 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-03 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-03 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-04 00:00:00.0,"DTW",2.25,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-04 00:00:00.0,"RSWL (mAHD)",517.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-04 00:00:00.0,"SWL",2.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-05 00:00:00.0,"DTW",2.26,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-05 00:00:00.0,"RSWL (mAHD)",517.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-05 00:00:00.0,"SWL",2.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-06 00:00:00.0,"DTW",2.26,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-06 00:00:00.0,"RSWL (mAHD)",517.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-06 00:00:00.0,"SWL",2.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-07 00:00:00.0,"DTW",2.23,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-07 00:00:00.0,"RSWL (mAHD)",517.77,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-07 00:00:00.0,"SWL",2.73,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-08 00:00:00.0,"DTW",2.20,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-08 00:00:00.0,"RSWL (mAHD)",517.80,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-08 00:00:00.0,"SWL",2.70,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-09 00:00:00.0,"DTW",2.15,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-09 00:00:00.0,"RSWL (mAHD)",517.85,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-09 00:00:00.0,"SWL",2.65,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-10 00:00:00.0,"DTW",2.14,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-10 00:00:00.0,"RSWL (mAHD)",517.86,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-10 00:00:00.0,"SWL",2.64,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-11 00:00:00.0,"DTW",2.11,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-11 00:00:00.0,"RSWL (mAHD)",517.89,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-11 00:00:00.0,"SWL",2.61,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-12 00:00:00.0,"DTW",2.17,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-12 00:00:00.0,"RSWL (mAHD)",517.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-12 00:00:00.0,"SWL",2.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-13 00:00:00.0,"DTW",2.16,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-13 00:00:00.0,"RSWL (mAHD)",517.84,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-13 00:00:00.0,"SWL",2.66,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-14 00:00:00.0,"DTW",2.14,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-14 00:00:00.0,"RSWL (mAHD)",517.86,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-14 00:00:00.0,"SWL",2.64,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-15 00:00:00.0,"DTW",2.14,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-15 00:00:00.0,"RSWL (mAHD)",517.86,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-15 00:00:00.0,"SWL",2.64,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-16 00:00:00.0,"DTW",2.16,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-16 00:00:00.0,"RSWL (mAHD)",517.84,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-16 00:00:00.0,"SWL",2.66,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-17 00:00:00.0,"DTW",2.16,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-17 00:00:00.0,"RSWL (mAHD)",517.84,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-17 00:00:00.0,"SWL",2.66,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-18 00:00:00.0,"DTW",2.15,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-18 00:00:00.0,"RSWL (mAHD)",517.85,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-18 00:00:00.0,"SWL",2.65,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-19 00:00:00.0,"DTW",2.17,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-19 00:00:00.0,"RSWL (mAHD)",517.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-19 00:00:00.0,"SWL",2.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-20 00:00:00.0,"DTW",2.22,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-20 00:00:00.0,"RSWL (mAHD)",517.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-20 00:00:00.0,"SWL",2.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-21 00:00:00.0,"DTW",2.21,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-21 00:00:00.0,"RSWL (mAHD)",517.79,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-21 00:00:00.0,"SWL",2.71,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-22 00:00:00.0,"DTW",2.20,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-22 00:00:00.0,"RSWL (mAHD)",517.80,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-22 00:00:00.0,"SWL",2.70,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-23 00:00:00.0,"DTW",2.17,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-23 00:00:00.0,"RSWL (mAHD)",517.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-23 00:00:00.0,"SWL",2.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-24 00:00:00.0,"DTW",2.20,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-24 00:00:00.0,"RSWL (mAHD)",517.80,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-24 00:00:00.0,"SWL",2.70,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-25 00:00:00.0,"DTW",2.22,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-25 00:00:00.0,"RSWL (mAHD)",517.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-25 00:00:00.0,"SWL",2.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-26 00:00:00.0,"DTW",2.24,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-26 00:00:00.0,"RSWL (mAHD)",517.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-26 00:00:00.0,"SWL",2.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-27 00:00:00.0,"DTW",2.24,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-27 00:00:00.0,"RSWL (mAHD)",517.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-27 00:00:00.0,"SWL",2.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-28 00:00:00.0,"DTW",2.24,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-28 00:00:00.0,"RSWL (mAHD)",517.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-28 00:00:00.0,"SWL",2.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-29 00:00:00.0,"DTW",2.25,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-29 00:00:00.0,"RSWL (mAHD)",517.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-29 00:00:00.0,"SWL",2.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-30 00:00:00.0,"DTW",2.26,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-30 00:00:00.0,"RSWL (mAHD)",517.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-09-30 00:00:00.0,"SWL",2.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-01 00:00:00.0,"DTW",2.22,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-01 00:00:00.0,"RSWL (mAHD)",517.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-01 00:00:00.0,"SWL",2.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-02 00:00:00.0,"DTW",2.25,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-02 00:00:00.0,"RSWL (mAHD)",517.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-02 00:00:00.0,"SWL",2.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-03 00:00:00.0,"DTW",2.25,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-03 00:00:00.0,"RSWL (mAHD)",517.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-03 00:00:00.0,"SWL",2.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-04 00:00:00.0,"DTW",2.26,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-04 00:00:00.0,"RSWL (mAHD)",517.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-04 00:00:00.0,"SWL",2.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-05 00:00:00.0,"DTW",2.25,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-05 00:00:00.0,"RSWL (mAHD)",517.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-05 00:00:00.0,"SWL",2.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-06 00:00:00.0,"DTW",2.25,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-06 00:00:00.0,"RSWL (mAHD)",517.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-06 00:00:00.0,"SWL",2.75,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-07 00:00:00.0,"DTW",2.24,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-07 00:00:00.0,"RSWL (mAHD)",517.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-07 00:00:00.0,"SWL",2.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-08 00:00:00.0,"DTW",2.26,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-08 00:00:00.0,"RSWL (mAHD)",517.74,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-08 00:00:00.0,"SWL",2.76,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-09 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-09 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-09 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-10 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-10 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-10 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-11 00:00:00.0,"DTW",2.29,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-11 00:00:00.0,"RSWL (mAHD)",517.71,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-11 00:00:00.0,"SWL",2.79,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-12 00:00:00.0,"DTW",2.29,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-12 00:00:00.0,"RSWL (mAHD)",517.71,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-12 00:00:00.0,"SWL",2.79,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-13 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-13 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-13 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-14 00:00:00.0,"DTW",2.27,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-14 00:00:00.0,"RSWL (mAHD)",517.73,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-14 00:00:00.0,"SWL",2.77,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-15 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-15 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-15 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-16 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-16 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-16 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-17 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-17 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-17 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-18 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-18 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-18 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-19 00:00:00.0,"DTW",2.34,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-19 00:00:00.0,"RSWL (mAHD)",517.66,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-19 00:00:00.0,"SWL",2.84,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-20 00:00:00.0,"DTW",2.32,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-20 00:00:00.0,"RSWL (mAHD)",517.68,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-20 00:00:00.0,"SWL",2.82,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-21 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-21 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-21 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-22 00:00:00.0,"DTW",2.27,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-22 00:00:00.0,"RSWL (mAHD)",517.73,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-22 00:00:00.0,"SWL",2.77,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-23 00:00:00.0,"DTW",2.30,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-23 00:00:00.0,"RSWL (mAHD)",517.70,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-23 00:00:00.0,"SWL",2.80,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-24 00:00:00.0,"DTW",2.32,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-24 00:00:00.0,"RSWL (mAHD)",517.68,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-24 00:00:00.0,"SWL",2.82,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-25 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-25 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-25 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-26 00:00:00.0,"DTW",2.31,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-26 00:00:00.0,"RSWL (mAHD)",517.69,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-26 00:00:00.0,"SWL",2.81,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-27 00:00:00.0,"DTW",2.30,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-27 00:00:00.0,"RSWL (mAHD)",517.70,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-27 00:00:00.0,"SWL",2.80,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-28 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-28 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-28 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-29 00:00:00.0,"DTW",2.35,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-29 00:00:00.0,"RSWL (mAHD)",517.65,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-29 00:00:00.0,"SWL",2.85,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-30 00:00:00.0,"DTW",2.34,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-30 00:00:00.0,"RSWL (mAHD)",517.66,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-30 00:00:00.0,"SWL",2.84,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-31 00:00:00.0,"DTW",2.33,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-31 00:00:00.0,"RSWL (mAHD)",517.67,"quality-E","WaterNSW"
"GW080415.1.1",2004-10-31 00:00:00.0,"SWL",2.83,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-01 00:00:00.0,"DTW",2.30,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-01 00:00:00.0,"RSWL (mAHD)",517.70,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-01 00:00:00.0,"SWL",2.80,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-02 00:00:00.0,"DTW",2.28,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-02 00:00:00.0,"RSWL (mAHD)",517.72,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-02 00:00:00.0,"SWL",2.78,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-03 00:00:00.0,"DTW",2.32,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-03 00:00:00.0,"RSWL (mAHD)",517.68,"quality-E","WaterNSW"
"GW080415.1.1",2004-11-03 00:00:00.0,"SWL",2.82,"quality-E","WaterNSW"
