latitude,longitude,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
 -32.5500, 150.0000,1990-01-01,    0.0,25, 36.8,25, 17.3,25, 16.0,25, 31.3,26, 10.0,25,  9.7,26, 10.0,25, 7.5,26, 27.8,25, 25.8,26, 81.1,26,  7.4,26,  9.6,26, 3.7,26,10.9,26, 7.3,26,1014.6,25,"elevation= 636.2 m"
 -32.5500, 150.0000,1990-01-02,    0.0,25, 34.7,25, 16.6,25, 16.0,25, 26.9,26,  9.4,25,  9.0,26,  9.4,25, 7.4,26, 28.0,25, 28.9,26, 84.7,26,  7.0,26,  9.0,26, 4.2,26,10.2,26, 7.2,26,1015.7,25,"reference=RXNVDESCLJHGFTAPWM"
 -32.5500, 150.0000,1990-01-03,    0.0,25, 39.2,25, 15.7,25, 17.7,25, 33.5,26, 11.5,25, 10.7,26, 11.5,25, 8.5,26, 31.1,25, 25.0,26, 99.3,26,  8.1,26, 10.4,26, 5.3,26,11.3,26, 8.3,26,1013.9,25,"extracted=20220623"
 -32.5500, 150.0000,1990-01-04,    0.0,25, 35.9,25, 20.0,25, 13.2,25, 34.1,26, 11.1,25, 10.0,26, 11.1,25, 7.6,26, 28.5,25, 22.3,26, 56.5,26,  7.7,26, 10.0,26, 2.6,26,12.3,26, 7.5,26,1010.8,25,"Please read our web site for information about the meanings of the codes, and other information"
 -32.5500, 150.0000,1990-01-05,    0.0,25, 28.3,25, 14.2,25, 12.6,25, 18.6,26,  8.2,25,  7.6,26,  8.2,25, 6.5,26, 27.2,25, 32.8,26, 77.9,26,  6.0,26,  7.6,26, 3.8,26, 8.8,26, 6.3,26,1016.0,25,""
 -32.5500, 150.0000,1990-01-06,    0.9,25, 34.7,25, 15.3,25, 16.5,25, 25.6,26,  7.4,25,  8.3,26,  7.4,25, 6.4,26, 24.4,25, 29.8,26, 95.0,26,  6.4,26,  8.3,26, 3.5,26, 9.0,26, 6.3,26,1014.0,25,""
 -32.5500, 150.0000,1990-01-07,    1.0,25, 34.3,25, 19.2,25, 16.6,25, 27.1,26,  9.6,25,  7.2,26,  9.6,25, 4.9,26, 16.7,25, 30.7,26, 74.6,26,  5.5,26,  7.4,26, 1.1,26, 8.6,26, 4.8,26,1014.8,25,""
 -32.5500, 150.0000,1990-01-08,   58.1,25, 22.4,25, 16.8,25, 19.4,25,  5.5,26,  2.6,25,  2.8,26,  2.6,25, 2.2,26,  7.8,25, 71.6,26,100.0,26,  2.0,26,  2.4,26, 1.9,26, 2.5,26, 2.2,26,1016.7,25,""
 -32.5500, 150.0000,1990-01-09,   14.0,25, 22.8,25, 16.5,25, 18.7,25,  6.5,26,  3.0,25,  2.9,26,  3.0,25, 2.4,26,  8.1,25, 67.4,26, 99.7,26,  2.2,26,  2.7,26, 1.8,26, 2.9,26, 2.4,26,1016.8,25,""
 -32.5500, 150.0000,1990-01-10,    0.2,25, 21.5,25, 16.4,25, 17.5,25,  6.2,26,  3.4,25,  3.1,26,  3.4,25, 2.7,26,  9.5,25, 68.3,26, 93.9,26,  2.4,26,  2.9,26, 2.2,26, 3.3,26, 2.7,26,1019.9,25,""
 -32.5500, 150.0000,1990-01-11,    0.0,25, 28.1,25, 13.7,25, 17.3,25, 13.4,26,  6.4,25,  6.1,26,  6.4,25, 5.3,26, 21.5,25, 45.5,26,100.0,26,  4.7,26,  5.7,26, 4.2,26, 6.2,26, 5.2,26,1020.3,25,""
 -32.5500, 150.0000,1990-01-12,    0.0,25, 31.4,25, 16.5,25, 19.8,25, 17.3,26,  6.3,25,  7.2,26,  6.3,25, 6.7,26, 25.5,25, 43.1,26,100.0,26,  5.7,26,  6.9,26, 5.3,26, 7.7,26, 6.5,26,1015.4,25,""
 -32.5500, 150.0000,1990-01-13,    3.2,25, 30.8,25, 18.0,25, 20.0,25, 16.9,26,  5.9,25,  6.5,26,  5.9,25, 5.9,26, 21.8,25, 45.0,26, 97.0,26,  5.2,26,  6.4,26, 4.2,26, 7.2,26, 5.7,26,1010.3,25,""
 -32.5500, 150.0000,1990-01-14,   11.0,25, 26.0,25, 17.3,25, 19.0,25, 10.5,26,  5.1,25,  4.4,26,  5.1,25, 3.9,26, 14.1,25, 56.5,26, 96.3,26,  3.5,26,  4.3,26, 2.8,26, 4.8,26, 3.8,26,1011.2,25,""
 -32.5500, 150.0000,1990-01-15,    3.7,25, 25.5,25, 17.0,25, 18.1,25, 10.6,26,  4.3,25,  3.7,26,  4.3,25, 3.0,26,  9.6,25, 55.5,26, 93.5,26,  2.9,26,  3.7,26, 1.7,26, 4.2,26, 3.0,26,1010.2,25,""
 -32.5500, 150.0000,1990-01-16,    0.0,25, 24.6,25, 12.6,25, 11.2,25, 14.6,26,  7.4,25,  7.4,26,  7.4,25, 7.0,26, 30.3,25, 36.2,26, 76.8,26,  5.8,26,  7.1,26, 4.9,26, 8.6,26, 6.7,26,1005.9,25,""
 -32.5500, 150.0000,1990-01-17,    0.0,25, 25.9,25,  9.0,25, 10.8,25, 15.1,26,  6.3,25,  7.7,26,  6.3,25, 7.0,26, 30.9,25, 32.3,26, 94.1,26,  5.8,26,  7.2,26, 5.2,26, 8.4,26, 6.8,26,1011.6,25,""
 -32.5500, 150.0000,1990-01-18,    0.0,25, 28.3,25, 11.7,25, 14.9,25, 15.2,26,  5.3,25,  6.3,26,  5.3,25, 5.0,26, 21.1,25, 38.7,26,100.0,26,  4.8,26,  6.0,26, 3.5,26, 6.4,26, 4.9,26,1013.1,25,""
 -32.5500, 150.0000,1990-01-19,    0.0,25, 30.9,25, 13.6,25, 14.9,25, 19.9,26,  6.5,25,  6.8,26,  6.5,25, 5.0,26, 19.9,25, 33.4,26, 95.7,26,  5.2,26,  6.8,26, 2.5,26, 7.3,26, 4.9,26,1012.0,25,""
 -32.5500, 150.0000,1990-01-20,    2.9,25, 32.5,25, 14.2,25, 18.2,25, 19.4,26,  6.9,25,  7.9,26,  6.9,25, 7.0,26, 27.4,25, 37.2,26,100.0,26,  6.2,26,  7.6,26, 5.5,26, 8.2,26, 6.8,26,1009.0,25,""
 -32.5500, 150.0000,1990-01-21,    6.5,25, 28.8,25, 15.9,25, 17.5,25, 15.3,26,  6.3,25,  6.2,26,  6.3,25, 5.4,26, 21.1,25, 44.2,26, 96.9,26,  4.9,26,  6.0,26, 3.7,26, 6.7,26, 5.2,26,1011.7,25,""
 -32.5500, 150.0000,1990-01-22,    3.0,25, 22.5,25, 15.5,25, 14.8,25,  9.7,26,  5.5,25,  4.8,26,  5.5,25, 4.2,26, 17.7,25, 54.3,26, 84.1,26,  3.8,26,  4.7,26, 2.8,26, 5.4,26, 4.1,26,1016.7,25,""
 -32.5500, 150.0000,1990-01-23,    0.0,25, 26.4,25, 12.6,25, 13.1,25, 14.9,26,  7.8,25,  7.3,26,  7.8,25, 6.7,26, 28.6,25, 38.1,26, 89.8,26,  5.6,26,  6.9,26, 4.9,26, 8.1,26, 6.5,26,1018.9,25,""
 -32.5500, 150.0000,1990-01-24,    0.0,25, 29.4,25, 11.4,25, 13.7,25, 17.8,26,  7.2,25,  8.1,26,  7.2,25, 7.4,26, 30.7,25, 33.4,26,100.0,26,  6.3,26,  7.7,26, 5.6,26, 8.8,26, 7.2,26,1017.9,25,""
 -32.5500, 150.0000,1990-01-25,    0.0,25, 26.8,25, 13.0,25, 16.1,25, 12.6,26,  7.2,25,  6.9,26,  7.2,25, 6.6,26, 27.8,25, 45.7,26,100.0,26,  5.3,26,  6.3,26, 5.8,26, 7.2,26, 6.5,26,1015.2,25,""
 -32.5500, 150.0000,1990-01-26,    0.0,25, 29.9,25, 12.7,25, 15.3,25, 17.5,26,  6.9,25,  7.0,26,  6.9,25, 5.7,26, 23.6,25, 36.3,26,100.0,26,  5.4,26,  6.8,26, 3.9,26, 7.3,26, 5.6,26,1011.4,25,""
 -32.5500, 150.0000,1990-01-27,    0.0,25, 37.2,25, 14.2,25, 15.6,25, 30.5,26, 10.3,25, 10.0,26, 10.3,25, 7.8,26, 29.6,25, 24.6,26, 96.4,26,  7.5,26,  9.7,26, 4.5,26,10.6,26, 7.6,26,1005.4,25,""
 -32.5500, 150.0000,1990-01-28,    0.0,25, 33.7,25, 17.3,25, 13.5,25, 28.0,26,  8.3,25,  8.1,26,  8.3,25, 5.6,26, 21.4,25, 25.8,26, 68.4,26,  6.2,26,  8.2,26, 1.4,26, 9.6,26, 5.5,26,1006.9,25,""
 -32.5500, 150.0000,1990-01-29,    0.0,25, 22.9,25, 16.4,25, 17.1,25,  8.2,26,  7.4,25,  4.6,26,  7.4,25, 4.3,26, 17.9,25, 61.3,26, 91.7,26,  3.7,26,  4.3,26, 3.6,26, 5.0,26, 4.3,26,1014.6,25,""
 -32.5500, 150.0000,1990-01-30,    0.0,25, 27.4,25, 14.1,25, 15.0,25, 15.0,26,  7.2,25,  6.4,26,  7.2,25, 5.4,26, 22.5,25, 41.1,26, 93.3,26,  5.0,26,  6.1,26, 3.6,26, 6.9,26, 5.3,26,1016.3,25,""
 -32.5500, 150.0000,1990-01-31,    0.0,25, 30.4,25, 12.3,25, 14.9,25, 18.5,26,  8.0,25,  8.1,26,  8.0,25, 7.3,26, 29.9,25, 34.3,26,100.0,26,  6.2,26,  7.7,26, 5.6,26, 8.7,26, 7.1,26,1011.9,25,""
 -32.5500, 150.0000,1990-02-01,    0.0,25, 29.9,25, 16.4,25, 19.5,25, 15.2,26,  6.1,25,  5.7,26,  6.1,25, 5.1,26, 19.3,25, 46.2,26,100.0,26,  4.6,26,  5.7,26, 3.7,26, 6.2,26, 5.0,26,1007.4,25,""
 -32.5500, 150.0000,1990-02-02,    1.0,25, 23.5,25, 16.7,25, 18.0,25,  8.1,26,  2.5,25,  3.4,26,  2.5,25, 3.0,26, 10.2,25, 62.2,26, 94.7,26,  2.7,26,  3.3,26, 2.2,26, 3.8,26, 3.0,26,1007.8,25,""
 -32.5500, 150.0000,1990-02-03,   29.9,25, 19.4,25, 17.7,25, 19.3,25,  2.6,26,  3.0,25,  2.3,26,  3.0,25, 2.0,26,  7.1,25, 85.7,26, 95.3,26,  1.6,26,  1.9,26, 2.0,26, 2.0,26, 2.0,26,1003.7,25,""
 -32.5500, 150.0000,1990-02-04,   25.1,25, 25.2,25, 16.4,25, 19.0,25,  9.1,26,  3.8,25,  4.2,26,  3.8,25, 3.8,26, 14.6,25, 59.3,26,100.0,26,  3.3,26,  4.0,26, 3.2,26, 4.4,26, 3.8,26, 999.3,25,""
 -32.5500, 150.0000,1990-02-05,    0.0,25, 28.2,25, 13.6,25, 17.8,25, 13.0,26,  5.7,25,  6.2,26,  5.7,25, 6.0,26, 24.9,25, 46.6,26,100.0,26,  5.0,26,  5.9,26, 5.3,26, 6.6,26, 5.9,26,1007.4,25,""
 -32.5500, 150.0000,1990-02-06,    0.9,25, 28.6,25, 16.1,25, 18.6,25, 14.0,26,  6.3,25,  6.0,26,  6.3,25, 5.7,26, 22.8,25, 47.5,26,100.0,26,  4.9,26,  5.9,26, 4.5,26, 6.7,26, 5.6,26,1012.8,25,""
 -32.5500, 150.0000,1990-02-07,    0.5,25, 26.7,25, 17.5,25, 18.9,25, 11.7,26,  5.9,25,  5.1,26,  5.9,25, 4.8,26, 19.0,25, 54.0,26, 94.6,26,  4.2,26,  5.1,26, 3.7,26, 5.8,26, 4.8,26,1015.2,25,""
 -32.5500, 150.0000,1990-02-08,   34.2,25, 25.1,25, 15.0,25, 16.8,25, 10.6,26,  5.6,25,  5.2,26,  5.6,25, 4.8,26, 20.1,25, 52.7,26, 98.6,26,  4.1,26,  4.9,26, 3.8,26, 5.6,26, 4.7,26,1016.0,25,""
 -32.5500, 150.0000,1990-02-09,    2.3,25, 24.4,25, 14.4,25, 17.2,25,  9.1,26,  5.0,25,  4.9,26,  5.0,25, 4.6,26, 19.5,25, 56.3,26,100.0,26,  3.8,26,  4.5,26, 4.0,26, 5.0,26, 4.5,26,1013.0,25,""
 -32.5500, 150.0000,1990-02-10,   25.1,25, 22.8,25, 12.3,25, 15.9,25,  7.7,26,  3.5,25,  4.7,26,  3.5,25, 4.3,26, 19.0,25, 57.3,26,100.0,26,  3.5,26,  4.1,26, 4.0,26, 4.5,26, 4.2,26,1008.0,25,""
 -32.5500, 150.0000,1990-02-11,    0.8,25, 23.8,25, 10.1,25, 13.9,25, 10.0,26,  4.7,25,  5.7,26,  4.7,25, 5.3,26, 24.1,25, 47.2,26,100.0,26,  4.3,26,  5.1,26, 4.7,26, 5.8,26, 5.2,26,1011.6,25,""
 -32.5500, 150.0000,1990-02-12,    2.8,25, 22.4,25, 12.3,25, 14.7,25,  8.5,26,  4.0,25,  4.5,26,  4.0,25, 3.9,26, 17.5,25, 54.3,26,100.0,26,  3.4,26,  4.1,26, 3.2,26, 4.6,26, 3.9,26,1016.6,25,""
 -32.5500, 150.0000,1990-02-13,    1.5,25, 24.2,25, 12.3,25, 14.7,25, 10.5,26,  4.2,25,  4.6,26,  4.2,25, 3.7,26, 15.9,25, 48.7,26,100.0,26,  3.5,26,  4.4,26, 2.5,26, 4.7,26, 3.6,26,1018.5,25,""
 -32.5500, 150.0000,1990-02-14,    0.0,25, 25.5,25, 13.1,25, 14.3,25, 12.8,26,  5.5,25,  6.3,26,  5.5,25, 6.0,26, 25.8,25, 43.8,26, 94.9,26,  5.0,26,  6.0,26, 4.6,26, 7.0,26, 5.8,26,1019.3,25,""
 -32.5500, 150.0000,1990-02-15,    0.0,25, 26.0,25, 14.0,25, 15.2,25, 12.9,26,  5.3,25,  5.7,26,  5.3,25, 5.1,26, 21.8,25, 45.2,26, 95.1,26,  4.5,26,  5.6,26, 3.7,26, 6.4,26, 5.0,26,1018.5,25,""
