"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW403746.3.3",50.0,51.0,55.26,54.26,"SDCY","NA","Red brown sandy clay.","NSW Office of Water"
"GW403746.3.3",33.0,34.0,72.26,71.26,"SAND","NA","Brown micaceous fine-medium sand.","NSW Office of Water"
"GW403746.3.3",36.0,37.0,69.26,68.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",42.0,43.0,63.26,62.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",57.0,58.0,48.26,47.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",66.0,67.0,39.26,38.26,"CLAY","NA","Yellow brown, some grey and red brown clay.","NSW Office of Water"
"GW403746.3.3",76.0,77.0,29.26,28.26,"SAND","NA","Brown medium sand.","NSW Office of Water"
"GW403746.3.3",84.0,85.0,21.26,20.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",89.0,90.0,16.26,15.26,"SAND","NA","Grey coarse sand and gravel with some clay.","NSW Office of Water"
"GW403746.3.3",97.0,98.0,8.26,7.26,"SAND","NA","Grey fine sand with mica.","NSW Office of Water"
"GW403746.3.3",100.0,101.0,5.26,4.26,"SAND","NA","Grey fine sand with mica.","NSW Office of Water"
"GW403746.3.3",119.0,120.0,-13.74,-14.74,"CLAY","NA","Pale yellow clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",123.0,124.0,-17.74,-18.74,"CLAY","NA","Pale yellow clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",125.0,126.0,-19.74,-20.74,"SAND","NA","Grey fine to medium sand.","NSW Office of Water"
"GW403746.3.3",145.0,146.0,-39.74,-40.74,"SAND","NA","Grey coarse sand with some lignite.","NSW Office of Water"
"GW403746.3.3",154.0,155.0,-48.74,-49.74,"CLAY","NA","Dark grey clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",158.0,159.0,-52.74,-53.74,"CLAY","NA","Dark grey clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",162.0,163.0,-56.74,-57.74,"CLAY","NA","Dark grey clay with lignite and some sand and gravel.","NSW Office of Water"
"GW403746.3.3",167.0,168.0,-61.74,-62.74,"CLAY","NA","Dark grey/black clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",174.0,175.0,-68.74,-69.74,"CLAY","NA","Dark grey/black clay with some coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",188.0,189.0,-82.74,-83.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",208.0,209.0,-102.74,-103.74,"SAND","NA","Grey/black fine to coarse sand with gravel and some clay.","NSW Office of Water"
"GW403746.3.3",217.0,218.0,-111.74,-112.74,"SAND","NA","Fine to medium sand with dark grey lignite rich clay.","NSW Office of Water"
"GW403746.3.3",226.0,227.0,-120.74,-121.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",21.0,22.0,84.26,83.26,"SAND","NA","Coarse sand and gravel with brown/yellow brown clay.","NSW Office of Water"
"GW403746.3.3",45.0,46.0,60.26,59.26,"SDCY","NA","Slightly dark brown sandy clay.","NSW Office of Water"
"GW403746.3.3",53.0,54.0,52.26,51.26,"SDCY","NA","Brown and red brown slightly sandy clay.","NSW Office of Water"
